idx,id,title,url,date
40,Dd47u6j3iD8,How Joe Rogan Decides Which Politicians He Will Interview,https://www.youtube.com/watch?v=Dd47u6j3iD8,unknown
41,F8PyBkzG-nE,Joe Rogan On How The Internet Has Changed Everything,https://www.youtube.com/watch?v=F8PyBkzG-nE,unknown
42,ZTJSUR1lbiI,"Krystal and Saagar Interview Joe Rogan On Politics, The Art Of Podcasting & More",https://www.youtube.com/watch?v=ZTJSUR1lbiI,unknown
43,MSSF0pyJpsY,Why Joe Rogan Turned Down A Trump Interview Twice,https://www.youtube.com/watch?v=MSSF0pyJpsY,unknown
44,ZY-u0RUJU9Y,Joe Rogan On Why He Loves Longform Podcasting,https://www.youtube.com/watch?v=ZY-u0RUJU9Y,unknown
45,_3uU85FvBZ0,Joe Rogan On How Spotify Made Him More Famous,https://www.youtube.com/watch?v=_3uU85FvBZ0,unknown
46,uP62FNQTI-o,Joe Rogan Explains His Interview Style,https://www.youtube.com/watch?v=uP62FNQTI-o,unknown
47,v7IgK13fJJs,Joe Rogan On What's Next For Him 10 Years From Now,https://www.youtube.com/watch?v=v7IgK13fJJs,unknown
48,5cmhYHCu_0Y,Krystal and Saagar: Biden's DANGEROUS Domestic Terrorism Power Grab WILL COME FOR YOU,https://www.youtube.com/watch?v=5cmhYHCu_0Y,unknown
49,-woaODrs370,Krystal and Saagar: Media's Insane TONGUE BATH Of Biden Despite Snapping At Female Reporter,https://www.youtube.com/watch?v=-woaODrs370,unknown
50,BBI0UDcRTqQ,Krystal and Saagar: Hillary EMERGES TO Attack Bernie Left AGAIN,https://www.youtube.com/watch?v=BBI0UDcRTqQ,unknown
51,Me2QEuNNVkg,Krystal Ball: The Left's SELF DEFEATING Joe Rogan Take,https://www.youtube.com/watch?v=Me2QEuNNVkg,unknown
52,j6m49HAfRmk,Saagar Enjeti: Fauci's CLOWNISH Lab Leak Lies Look Just Like Iraq WMD,https://www.youtube.com/watch?v=j6m49HAfRmk,unknown
53,ux8c0_lM780,Krystal and Saagar: Biden Says Imagine If US Interfered In Other Countries Elections,https://www.youtube.com/watch?v=ux8c0_lM780,unknown
54,x7NFrdc-j5Y,"WAPO's Jeff Stein: Unemployment Claims SURGE, What's REALLY Going On?",https://www.youtube.com/watch?v=x7NFrdc-j5Y,unknown
55,aU211GBuMgE,Josh Rogin: Fauci's DEFLECTION On Lab Leak Hypothesis Is Insult To Science,https://www.youtube.com/watch?v=aU211GBuMgE,unknown
56,Fhu9ZNSjx8A,"Krystal and Saagar: Texas Power Grid FAILS AGAIN, What The Hell Is Going On?",https://www.youtube.com/watch?v=Fhu9ZNSjx8A,unknown
57,OIXkeYYum6k,Krystal and Saagar: America Should NOT Become A Nation Of Renters,https://www.youtube.com/watch?v=OIXkeYYum6k,unknown
58,Jwo8DT4_jfU,Krystal Ball: Critical Bridge On Verge Of COLLAPSE As We Devolve Into Failed State,https://www.youtube.com/watch?v=Jwo8DT4_jfU,unknown
59,kRbk7kltl0I,Krystal and Saagar: House REJECTS Bezos Space Bailout,https://www.youtube.com/watch?v=kRbk7kltl0I,unknown
60,vZ6sx38zY5s,Krystal and Saagar: Is 'Progressive' MSNBC UNION BUSTING Its Workers?,https://www.youtube.com/watch?v=vZ6sx38zY5s,unknown
61,UB0OZVvK_l8,Saagar Enjeti: Shortage Crisis Shows How Elites Made US INTO A CLOWN COUNTRY,https://www.youtube.com/watch?v=UB0OZVvK_l8,unknown
62,zOv1BIhGkC0,Krystal and Saagar: Fact And Fiction On FBI Involvement In January 6th Riot,https://www.youtube.com/watch?v=zOv1BIhGkC0,unknown
63,0OkZFdPd50Q,"Ross Barkan: Eric Adams WEAPONIZES Race To Attack Yang, Cover Corporate Politics",https://www.youtube.com/watch?v=0OkZFdPd50Q,unknown
64,5t18cfqMbTw,Krystal and Saagar: Amazon CAUGHT Destroying MILLIONS Of Perfectly Good Products For Profit,https://www.youtube.com/watch?v=5t18cfqMbTw,unknown
65,GqEXsBXWftc,Saagar Enjeti: Dave Portnoy IS Future Of GOP. Whether You Like It Or Not,https://www.youtube.com/watch?v=GqEXsBXWftc,unknown
66,AGXENI49ByQ,Krystal Ball: Media IGNORES SCOTUS Goldman Sachs Giveaway,https://www.youtube.com/watch?v=AGXENI49ByQ,unknown
67,PMZdsQICFc0,Krystal and Saagar: Will NCAA DEFEAT Pave Way For Paid Student Athletes?,https://www.youtube.com/watch?v=PMZdsQICFc0,unknown
68,4D9i8_OvTw0,"Krystal and Saagar: American Airlines Took BAILOUT BILLIONS, Fired Workers, Claims Labor Shortage",https://www.youtube.com/watch?v=4D9i8_OvTw0,unknown
69,pjh1m9ygDUk,Krystal and Saagar: Infrastructure DEAL Is Private Sector Giveaway Con,https://www.youtube.com/watch?v=pjh1m9ygDUk,unknown
70,OSLQ8YWUN-E,THE REALIGNMENT: Eric Weinstein on How to Fix Broken and Corrupt Institutions,https://www.youtube.com/watch?v=OSLQ8YWUN-E,unknown
71,YKsVY9XUxsw,Krystal and Saagar: What The HELL Happened To Andrew Yang?,https://www.youtube.com/watch?v=YKsVY9XUxsw,unknown
72,VebOjrl2umo,Krystal Ball: Buffalo Elects First SOCIALIST Mayor Of Major City In 60 Years,https://www.youtube.com/watch?v=VebOjrl2umo,unknown
73,llhgUyyxVZ8,Trita Parsi: What To Know About Iran's New Hardline Government,https://www.youtube.com/watch?v=llhgUyyxVZ8,unknown
74,k-AnC_7lhfE,Krystal and Saagar: MSNBC Admits Maddow Not A REAL Source Of Information,https://www.youtube.com/watch?v=k-AnC_7lhfE,unknown
75,egylqb70ssA,"Krystal and Saagar: SCOTUS Rules AGAINST Unions, Stands Up For Snapchat Free Speech",https://www.youtube.com/watch?v=egylqb70ssA,unknown
76,n5qbW_JcHPQ,Saagar Enjeti: US Has LOWEST Trust In Media Of Entire Free World. A New Order Must Replace It,https://www.youtube.com/watch?v=n5qbW_JcHPQ,unknown
77,y3h-aMRsN20,Krystal and Saagar: Coal Miners Tells Blackrock They SUCK To Their Face,https://www.youtube.com/watch?v=y3h-aMRsN20,unknown
78,QEm82KKcml4,"Biden's Presidency Is ""Dogsh*t"" - Hasan Piker to Krystal Ball",https://www.youtube.com/watch?v=QEm82KKcml4,unknown
79,9BhVBrgjl2A,Saagar Enjeti: Why 'Woke' Generals Are A THREAT TO US ALL,https://www.youtube.com/watch?v=9BhVBrgjl2A,unknown
